songname,artistname,year,decade,position,win,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
You Talk Too Much,Joe Jones,1960,60,89,0,0.605,0.756,0.739,0.0000042,0.0736,-4.978,0.0377,125.643,0.614
Beatnik Fly,Johnny and the Hurricanes,1960,60,90,0,0.888,0.541,0.62,0.288,0.12,-15.603,0.0332,88.893,0.931
When Will I Be Loved,The Everly Brothers,1960,60,91,0,0.0933,0.583,0.478,0,0.196,-9.868,0.0279,118.019,0.899
Let's Think About Living,Bob Luman,1960,60,92,0,0.717,0.613,0.636,0,0.446,-13.398,0.0713,96.762,0.962
Heartaches by the Number,Guy Mitchell,1960,60,93,0,0.463,0.584,0.589,0.0000153,0.069,-11.203,0.0718,172.484,0.842
My Little Corner of the World,Anita Bryant,1960,60,94,0,0.727,0.532,0.293,0.00000292,0.143,-11.052,0.0296,113.421,0.422
Doggin' Around,Jackie Wilson,1960,60,95,0,0.801,0.568,0.367,0.0000167,0.059,-9.912,0.0256,94.096,0.383
Little Bitty Girl,Bobby Rydell,1960,60,96,0,0.553,0.604,0.546,0,0.0919,-8.777,0.0382,121.081,0.845
Money (That's What I Want),Barrett Strong,1960,60,97,0,0.25,0.646,0.93,0,0.154,-3.233,0.0374,132.366,0.946
Stay,Maurice Williams and the Zodiacs,1960,60,98,0,0.842,0.555,0.404,0,0.218,-14.187,0.0621,120.509,0.736
Lonely Weekends,Charlie Rich,1960,60,99,0,0.773,0.614,0.817,0.0000206,0.13,-8.873,0.0446,92.019,0.54
Sandy,Larry Hall,1960,60,100,0,0.383,0.641,0.529,0.000157,0.102,-8.235,0.0268,80.552,0.798
Are You Lonesome Tonight?,Elvis Presley,1960,60,101,1,0.92,0.433,0.0748,0.00104,0.105,-19.351,0.049,73.093,0.193
Mack the Knife,Ella Fitzgerald,1960,60,101,1,0.697,0.568,0.628,0,0.488,-10.244,0.106,140.897,0.551
Tossin' and Turnin',Bobby Lewis,1961,60,1,0,0.225,0.569,0.722,0,0.108,-8.914,0.0393,142.736,0.965
I Fall to Pieces,Patsy Cline,1961,60,2,0,0.917,0.54,0.0568,0.00000101,0.12,-20.508,0.0351,111.791,0.506
