songname,artistname,year,decade,position,win,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
London Bridge,Fergie,2006,100,22,0,0.214,0.77,0.609,0,0.166,-5.894,0.345,90.952,0.631
Dani California,Red Hot Chili Peppers,2006,100,23,0,0.0193,0.556,0.913,0.00000859,0.346,-2.36,0.0437,96.184,0.73
Snap Yo Fingers,Lil Jon,2006,100,24,0,0.00647,0.835,0.757,0,0.29,-5.029,0.23,82.038,0.626
"Lean wit It, Rock wit It",Dem Franchize Boyz,2006,100,25,0,0.082,0.886,0.62,0,0.1,-5.854,0.307,76.035,0.6
What Hurts the Most,Rascal Flatts,2006,100,26,0,0.0088,0.537,0.674,0,0.265,-5.134,0.0277,136.002,0.33
How to Save a Life,The Fray,2006,100,27,0,0.269,0.64,0.743,0,0.101,-4.08,0.0379,122.035,0.361
Unfaithful,Rihanna,2006,100,28,0,0.839,0.588,0.391,0,0.227,-8.607,0.0334,144.069,0.349
Chasing Cars,Snow Patrol,2006,100,29,0,0.209,0.563,0.592,0.0000508,0.132,-4.571,0.0276,104.016,0.136
Lips of an Angel,Hinder,2006,100,30,0,0.0217,0.476,0.736,0.00000108,0.203,-5.38,0.0343,129.084,0.251
Everytime We Touch,Cascada,2006,100,31,0,0.00281,0.633,0.976,0.0000129,0.382,-5.362,0.0519,142.027,0.493
Ain't No Other Man,Christina Aguilera,2006,100,32,0,0.00376,0.862,0.742,0.00855,0.103,-4.722,0.222,127.91,0.511
"Dance, Dance",Fall Out Boy,2006,100,33,0,0.00523,0.622,0.961,0,0.0854,-3.198,0.154,114.452,0.449
Gold Digger,Kanye West,2006,100,34,0,0.0195,0.629,0.696,0,0.0554,-5.572,0.348,93.034,0.623
Money Maker,Ludacris,2006,100,35,0,0.15,0.551,0.598,0,0.299,-6.79,0.27,78.756,0.612
Ms. New Booty,Bubba Sparxxx,2006,100,36,0,0.016,0.64,0.62,0,0.0831,-5.931,0.416,129.37,0.609
(When You Gonna) Give It Up to Me,Sean Paul,2006,100,37,0,0.067,0.711,0.761,0,0.041,-3.04,0.225,95.824,0.718
Photograph,Nickelback,2006,100,38,0,0.000932,0.515,0.876,0.000166,0.136,-3.756,0.0292,145.916,0.385
Because of You,Kelly Clarkson,2006,100,39,0,0.254,0.583,0.584,0,0.123,-5.362,0.0314,140.039,0.136
Stickwitu,Pussycat Dolls,2006,100,40,0,0.268,0.655,0.54,0,0.068,-6.482,0.0516,79.983,0.43
I'm 'n Luv (wit a Stripper),T-Pain,2006,100,41,0,0.00542,0.739,0.368,0,0.171,-10.233,0.0845,144.992,0.467
My Humps,The Black Eyed Peas,2006,100,42,0,0.111,0.801,0.682,0.0000156,0.109,-5.919,0.225,123.95,0.586
Where'd You Go,Fort Minor,2006,100,43,0,0.262,0.684,0.819,0.00197,0.113,-3.309,0.238,179.999,0.25
Yo (Excuse Me Miss),Chris Brown,2006,100,44,0,0.119,0.536,0.612,0,0.209,-5.847,0.272,86.768,0.57
Walk Away,Kelly Clarkson,2006,100,45,0,0.0147,0.75,0.888,0.00000111,0.0759,-4.524,0.0426,115.973,0.935
Laffy Taffy,D4L,2006,100,46,0,0.0351,0.891,0.439,0,0.0932,-7.994,0.428,77.499,0.622
What You Know,T.I.,2006,100,47,0,0.0155,0.551,0.81,0,0.169,-4.365,0.0344,73.464,0.332
Dirty Little Secret,The All-American Rejects,2006,100,48,0,0.000346,0.465,0.954,0.00000538,0.573,-4.251,0.044,143.85,0.458
Savin' Me,Nickelback,2006,100,49,0,0.000731,0.441,0.815,0,0.414,-4.088,0.0276,164.007,0.522
Don't Forget About Us,Mariah Carey,2006,100,50,0,0.0457,0.699,0.543,0,0.1,-6.859,0.0383,143.635,0.431
Sexy Love,Ne-Yo,2006,100,51,0,0.297,0.693,0.516,0.000127,0.0604,-6.446,0.0413,94.02,0.494
U and Dat,E-40,2006,100,52,0,0.0241,0.858,0.484,0.0000018,0.123,-7.448,0.277,99.992,0.329
Far Away,Nickelback,2006,100,53,0,0.000681,0.518,0.797,0,0.107,-5.153,0.0309,132.918,0.293
What's Left of Me,Nick Lachey,2006,100,54,0,0.136,0.421,0.728,0,0.136,-5.644,0.035,150.12,0.311
So What,Field Mob,2006,100,55,0,0.0579,0.931,0.486,0,0.161,-10.558,0.139,120.026,0.896
Do It to It,Cherish,2006,100,56,0,0.0209,0.854,0.806,0.0542,0.0703,-8.262,0.0886,124.927,0.637
Black Horse and the Cherry Tree,KT Tunstall,2006,100,57,0,0.328,0.748,0.786,0,0.34,-7.788,0.0641,104.833,0.917
There It Go (The Whistle Song),Juelz Santana,2006,100,58,0,0.023,0.942,0.892,0.000897,0.264,-6.363,0.196,100.007,0.595
Shoulder Lean,Young Dro,2006,100,59,0,0.0471,0.7,0.518,0,0.1,-7.191,0.177,75.973,0.542
Unpredictable,Jamie Foxx,2006,100,60,0,0.206,0.734,0.599,0,0.0555,-8.462,0.197,145.185,0.772
My Love,Justin Timberlake,2006,100,61,0,0.277,0.771,0.68,0.0000118,0.682,-5.881,0.224,119.952,0.808
Shake That,Eminem,2006,100,62,0,0.0507,0.963,0.643,0.0000494,0.157,-5.785,0.117,107.005,0.534
Pullin' Me Back,Chingy,2006,100,63,0,0.0825,0.786,0.511,0,0.12,-6.66,0.286,80,0.587
Bossy,Kelis,2006,100,64,0,0.000185,0.906,0.624,0.00000621,0.0608,-5.556,0.179,84.009,0.775
Chain Hang Low,Jibbs,2006,100,65,0,0.0259,0.792,0.589,0.000128,0.114,-6.869,0.262,157.147,0.778
Smack That,Akon,2006,100,66,0,0.321,0.939,0.742,0,0.107,-5.171,0.0467,118.978,0.924
One Wish,Ray J,2006,100,67,0,0.278,0.525,0.652,0,0.339,-7.042,0.28,127.673,0.602
"Sugar, We're Goin Down",Fall Out Boy,2006,100,68,0,0.00579,0.494,0.842,0,0.122,-4.784,0.0843,162.011,0.574
Gimme That,Chris Brown,2006,100,69,0,0.00374,0.678,0.572,0.0000659,0.118,-7.033,0.0466,87.165,0.444
I Know You See It,Yung Joc,2006,100,70,0,0.0702,0.744,0.368,0,0.192,-6.349,0.0524,84.018,0.391
Who Says You Can't Go Home,Bon Jovi,2006,100,71,0,0.0437,0.537,0.885,0,0.274,-3.641,0.0343,131.698,0.802
Too Little Too Late,JoJo,2006,100,72,0,0.00871,0.421,0.799,0.0000163,0.0794,-5.183,0.0562,82.408,0.731
Touch It,Busta Rhymes,2006,100,73,0,0.0043,0.658,0.551,0.000108,0.197,-6.62,0.37,138.345,0.441
Rompe,Daddy Yankee,2006,100,74,0,0.0727,0.696,0.858,0.00000583,0.0631,-5.155,0.0859,176.061,0.534
Deja Vu,Beyonce,2006,100,75,0,0.0071,0.644,0.746,0.0000122,0.0743,-4.941,0.341,105.253,0.355
Life Is a Highway,Rascal Flatts,2006,100,76,0,0.00324,0.582,0.952,0,0.223,-3.848,0.0731,103.027,0.655
Call Me When You're Sober,Evanescence,2006,100,77,0,0.00193,0.45,0.883,0,0.293,-4.094,0.0524,93.41,0.328
"Jesus, Take the Wheel",Carrie Underwood,2006,100,78,0,0.665,0.359,0.518,0,0.106,-3.537,0.0302,76.572,0.135
Show Stopper,Danity Kane,2006,100,79,0,0.0133,0.755,0.408,0,0.33,-10.33,0.187,76.034,0.465
Get Up,Ciara,2006,100,80,0,0.0248,0.964,0.595,0.00000514,0.0405,-6.887,0.109,128.593,0.629
We Be Burnin',Sean Paul,2006,100,81,0,0.145,0.95,0.803,0,0.0748,-4.195,0.151,117,0.86
Hate Me,Blue October,2006,100,82,0,0.477,0.449,0.691,0,0.0966,-5.65,0.0349,93.267,0.201
You and Me,Lifehouse,2006,100,83,0,0.114,0.459,0.427,0,0.168,-7.734,0.0267,139.902,0.354
Beep,Pussycat Dolls,2006,100,84,0,0.00914,0.935,0.745,0,0.116,-6.391,0.0431,103.691,0.518
I Think They Like Me,Dem Franchize Boyz,2006,100,85,0,0.00447,0.781,0.625,0,0.185,-9.139,0.373,83.024,0.679
Say Goodbye,Chris Brown,2006,100,86,0,0.00167,0.8,0.502,0,0.0784,-6.062,0.0371,115.091,0.388
Waiting on the World to Change,John Mayer,2006,100,87,0,0.157,0.578,0.756,0.000232,0.249,-5.82,0.115,176.739,0.663
Soul Survivor,Young Jeezy,2006,100,88,0,0.00103,0.682,0.483,0,0.159,-7.718,0.0451,84.012,0.108
Pump It,The Black Eyed Peas,2006,100,89,0,0.0093,0.649,0.931,0,0.751,-3.15,0.181,153.645,0.744
When I'm Gone,Eminem,2006,100,90,0,0.0551,0.608,0.745,0,0.27,-5.496,0.365,150.068,0.725
Hung Up,Madonna,2006,100,91,0,0.0039,0.649,0.647,0.161,0.0686,-7.695,0.0452,125.02,0.405
Stay Fly,Three 6 Mafia,2006,100,92,0,0.109,0.789,0.881,0,0.355,-5.758,0.0331,133.299,0.647
Love,Keyshia Cole,2006,100,93,0,0.064,0.688,0.519,0,0.1,-4.285,0.0283,116.714,0.318
When You're Mad,Ne-Yo,2006,100,94,0,0.364,0.66,0.548,0,0.108,-7.127,0.215,86.947,0.436
Why You Wanna,T.I.,2006,100,95,0,0.358,0.802,0.772,0,0.0603,-4.893,0.192,96.046,0.654
Stupid Girls,Pink,2006,100,96,0,0.000738,0.683,0.886,0.00188,0.0524,-5.045,0.071,100.04,0.566
Feel Good Inc.,Gorillaz,2006,100,97,0,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,138.559,0.772
I'm Sprung,T-Pain,2006,100,98,0,0.0948,0.728,0.327,0,0.103,-11.596,0.0999,100,0.195
Do I Make You Proud,Taylor Hicks,2006,100,99,0,0.026,0.463,0.524,0,0.102,-8.207,0.0316,144.055,0.308
For You I Will (Confidence),Teddy Geiger,2006,100,100,0,0.0112,0.299,0.533,0.374,0.139,-11.564,0.0352,179.843,0.0837
Not Ready to Make Nice,Dixie Chicks,2006,100,101,2,0.134,0.425,0.554,0.0000856,0.0963,-4.145,0.0298,83.917,0.288
Put Your Records On,Corinne Bailey Rae,2006,100,101,1,0.167,0.739,0.511,0.00000134,0.133,-7.844,0.0362,96.038,0.542
Irreplaceable,Beyonce,2007,100,1,1,0.0293,0.447,0.694,0.00000546,0.167,-4.637,0.382,175.868,0.509
Umbrella,Rihanna,2007,100,2,0,0.00864,0.583,0.829,0,0.0426,-4.603,0.134,174.028,0.575
The Sweet Escape,Gwen Stefani,2007,100,3,0,0.191,0.756,0.77,0,0.178,-3.502,0.0343,119.961,0.73
Big Girls Don't Cry,Fergie,2007,100,4,0,0.205,0.708,0.641,0,0.0945,-4.296,0.0335,113.074,0.252
Buy U a Drank (Shawty Snappin'),T-Pain,2007,100,5,0,0.0109,0.693,0.549,0,0.0677,-8.141,0.119,80.028,0.605
Before He Cheats,Carrie Underwood,2007,100,6,0,0.271,0.519,0.749,0,0.119,-3.318,0.0405,147.905,0.29
Hey There Delilah,Plain White T's,2007,100,7,0,0.872,0.656,0.291,0,0.114,-10.572,0.0293,103.971,0.298
I Wanna Love You,Akon,2007,100,8,0,0.0373,0.866,0.454,0.00000149,0.275,-9.383,0.0414,99.985,0.368
Say It Right,Nelly Furtado,2007,100,9,0,0.0476,0.872,0.872,0.00112,0.0543,-6.328,0.139,116.948,0.809
Glamorous,Fergie,2007,100,10,0,0.291,0.81,0.755,0,0.0857,-6.408,0.199,130.991,0.625
Don't Matter,Akon,2007,100,11,0,0.244,0.798,0.443,0,0.326,-6.062,0.0403,125.232,0.354
Girlfriend,Avril Lavigne,2007,100,12,0,0.000722,0.56,0.959,0.000221,0.209,-2.433,0.102,163.983,0.669
Makes Me Wonder,Maroon 5,2007,100,13,0,0.00383,0.803,0.851,0.000358,0.0577,-2.427,0.0352,113.996,0.881
Party Like a Rockstar,Shop Boyz,2007,100,14,0,0.00495,0.656,0.92,0.00633,0.347,-4.133,0.0441,150.068,0.784
Smack That,Akon,2007,100,15,0,0.321,0.939,0.742,0,0.107,-5.171,0.0467,118.978,0.924
This Is Why I'm Hot,Mims,2007,100,16,0,0.277,0.621,0.6,0,0.495,-6.349,0.576,80.021,0.485
It's Not Over,Daughtry,2007,100,17,0,0.0503,0.428,0.919,0,0.245,-3.245,0.0618,145.927,0.294
The Way I Are,Timbaland,2007,100,18,0,0.181,0.731,0.807,0.751,0.319,-6.492,0.1,114.759,0.765
Fergalicious,Fergie,2007,100,19,0,0.0569,0.906,0.583,0,0.126,-7.721,0.317,129.056,0.829
Crank That (Soulja Boy),Soulja Boy Tell 'Em,2007,100,20,0,0.515,0.736,0.74,0,0.0468,-2.18,0.0786,140.141,0.803
Give It to Me,Timbaland,2007,100,21,0,0.168,0.975,0.711,0.000552,0.0799,-3.904,0.0632,110.621,0.815
What Goes Around... Comes Around,Justin Timberlake,2007,100,22,1,0.122,0.687,0.723,0.00102,0.573,-4.751,0.0709,76,0.432
Cupid's Chokehold,Gym Class Heroes,2007,100,23,0,0.237,0.72,0.744,0,0.255,-6.938,0.12,78.953,0.619
How to Save a Life,The Fray,2007,100,24,0,0.269,0.64,0.743,0,0.101,-4.08,0.0379,122.035,0.361
Home,Daughtry,2007,100,25,0,0.00217,0.443,0.853,0.00000177,0.198,-3.885,0.0361,143.986,0.338
My Love,Justin Timberlake,2007,100,26,0,0.277,0.771,0.68,0.0000118,0.682,-5.881,0.224,119.952,0.808
Stronger,Kanye West,2007,100,27,0,0.00564,0.617,0.717,0,0.408,-7.858,0.153,103.992,0.49
We Fly High,Jim Jones,2007,100,28,0,0.0791,0.506,0.799,0,0.0929,-6.58,0.38,120.405,0.461
U + Ur Hand,Pink,2007,100,29,0,0.00144,0.709,0.891,0,0.034,-3.688,0.0528,141.04,0.886
Walk It Out,Unk,2007,100,30,0,0.0982,0.794,0.777,0,0.202,-3.696,0.0813,160.022,0.706
Beautiful Girls,Sean Kingston,2007,100,31,0,0.15,0.762,0.661,0,0.256,-6.075,0.0687,130.009,0.769
"This Ain't a Scene, It's an Arms Race",Fall Out Boy,2007,100,32,0,0.000747,0.435,0.887,0,0.0327,-4.07,0.0636,199.935,0.408
Bartender,T-Pain,2007,100,33,0,0.0564,0.832,0.391,0,0.224,-8.504,0.0628,104.961,0.436
"Pop, Lock & Drop It",Huey,2007,100,34,0,0.00308,0.723,0.644,0,0.352,-6.863,0.222,144.09,0.645
Runaway Love,Ludacris,2007,100,35,0,0.329,0.405,0.721,0,0.252,-6.97,0.283,92.854,0.815
Rockstar,Nickelback,2007,100,36,0,0.0459,0.616,0.91,0,0.343,-3.004,0.0386,144.072,0.693
Thnks fr th Mmrs,Fall Out Boy,2007,100,37,0,0.00511,0.459,0.891,0,0.106,-5.057,0.0623,154.837,0.588
What I've Done,Linkin Park,2007,100,38,0,0.0141,0.623,0.93,0.00000164,0.138,-5.285,0.0324,120.119,0.287
Summer Love,Justin Timberlake,2007,100,39,0,0.0756,0.606,0.591,0,0.328,-7.228,0.087,95.802,0.477
You,Lloyd,2007,100,40,0,0.102,0.412,0.876,0,0.297,-6.008,0.47,130.159,0.703
Wait for You,Elliott Yamin,2007,100,41,0,0.25,0.764,0.487,0,0.184,-6.734,0.0281,116.027,0.352
Last Night,Diddy,2007,100,42,0,0.166,0.916,0.849,0.000193,0.0859,-5.034,0.0639,121.002,0.974
Make It Rain,Fat Joe,2007,100,43,0,0.0106,0.744,0.697,0,0.0842,-5.063,0.197,149.28,0.767
Make Me Better,Fabolous,2007,100,44,0,0.33,0.607,0.599,0,0.199,-6.886,0.0995,86.491,0.562
Ice Box,Omarion,2007,100,45,0,0.189,0.775,0.731,0,0.129,-5.446,0.134,131.105,0.821
Lips of an Angel,Hinder,2007,100,46,0,0.0217,0.476,0.736,0.00000108,0.203,-5.38,0.0343,129.084,0.251
Waiting on the World to Change,John Mayer,2007,100,47,0,0.157,0.578,0.756,0.000232,0.249,-5.82,0.115,176.739,0.663
Lost Without U,Robin Thicke,2007,100,48,0,0.226,0.664,0.351,0.00000238,0.106,-12.136,0.118,113.204,0.816
I'm a Flirt,R. Kelly,2007,100,49,0,0.0716,0.835,0.571,0,0.0604,-4.771,0.102,138.038,0.902
If Everyone Cared,Nickelback,2007,100,50,0,0.000246,0.519,0.85,0.014,0.279,-4.678,0.0354,132.022,0.211
Get It Shawty,Lloyd,2007,100,51,0,0.123,0.822,0.905,0,0.0496,-4.032,0.241,128.014,0.674
Face Down,The Red Jumpsuit Apparatus,2007,100,52,0,0.000665,0.545,0.932,0,0.127,-2.189,0.0399,92.956,0.464
The Way I Live,Baby Boy da Prince,2007,100,53,0,0.0147,0.88,0.438,0,0.0907,-7.562,0.248,90.02,0.714
Shortie Like Mine,Bow Wow,2007,100,54,0,0.0745,0.758,0.642,0,0.191,-8.128,0.221,142.078,0.701
It Ends Tonight,The All-American Rejects,2007,100,55,0,0.00228,0.454,0.636,0,0.154,-4.731,0.0273,87.89,0.313
A Bay Bay,Hurricane Chris,2007,100,56,0,0.105,0.577,0.668,0,0.0924,-4.884,0.514,60.709,0.702
Because of You,Ne-Yo,2007,100,57,0,0.528,0.81,0.538,0,0.0951,-5.784,0.0356,109.97,0.828
I Tried,Bone Thugs-n-Harmony,2007,100,58,0,0.0104,0.727,0.71,0,0.107,-6.142,0.0742,81.995,0.378
Welcome To The Black Parade,My Chemical Romance,2007,100,59,0,0.000289,0.217,0.905,0.00011,0.222,-4.103,0.0752,96.95,0.236
Shawty,Plies,2007,100,60,0,0.0419,0.444,0.708,0,0.0775,-5.926,0.126,105.412,0.26
Chasing Cars,Snow Patrol,2007,100,61,0,0.209,0.563,0.592,0.0000508,0.132,-4.571,0.0276,104.016,0.136
Beautiful Liar,Beyonce and Shakira,2007,100,62,0,0.0458,0.703,0.71,0.00125,0.121,-5.036,0.145,91.997,0.408
SexyBack,Justin Timberlake,2007,100,63,0,0.0584,0.967,0.583,0,0.0519,-5.562,0.0789,117,0.964
Keep Holding On,Avril Lavigne,2007,100,64,0,0.0374,0.162,0.786,0,0.143,-2.353,0.038,161.192,0.138
Let It Go,Keyshia Cole,2007,100,65,0,0.197,0.806,0.721,0,0.209,-5.167,0.215,94.967,0.781
Apologize,Timbaland,2007,100,66,0,0.0292,0.653,0.604,0,0.097,-6.017,0.0278,118.016,0.101
Bubbly,Colbie Caillat,2007,100,67,0,0.603,0.697,0.474,0,0.11,-6.663,0.0351,127.904,0.249
Like a Boy,Ciara,2007,100,68,0,0.267,0.701,0.724,0,0.0867,-5.751,0.145,132.035,0.425
Who Knew,Pink,2007,100,69,0,0.00462,0.688,0.734,0,0.0756,-4.569,0.0274,140.004,0.46
Never Again,Kelly Clarkson,2007,100,70,0,0.00168,0.514,0.91,0.00187,0.224,-2.978,0.0714,145.907,0.472
Promise,Ciara,2007,100,71,0,0.409,0.697,0.629,0.0000038,0.0819,-5.757,0.0425,123.279,0.439
Bed,J. Holiday,2007,100,72,0,0.17,0.684,0.606,0,0.058,-7.268,0.0504,127.901,0.723
Throw Some D's,Rich Boy,2007,100,73,0,0.0368,0.697,0.86,0,0.0721,-5.181,0.43,160.895,0.433
Rehab,Amy Winehouse,2007,100,74,2,0.0541,0.407,0.558,0.00000151,0.34,-13.609,0.0552,71.815,0.777
Big Shit Poppin' (Do It),T.I.,2007,100,75,0,0.134,0.634,0.84,0,0.484,-4.663,0.248,169.041,0.489
No One,Alicia Keys,2007,100,76,0,0.0209,0.644,0.549,0.00000885,0.134,-5.415,0.0285,90.04,0.167
The Great Escape,Boys Like Girls,2007,100,77,0,0.00166,0.423,0.94,0,0.178,-4.012,0.0635,149.934,0.505
2 Step,Unk,2007,100,78,0,0.0583,0.763,0.797,0,0.299,-2.274,0.0977,77.003,0.645
Walk Away (Remember Me),Paula DeAnda,2007,100,79,0,0.192,0.672,0.585,0,0.156,-5.797,0.0582,77.998,0.834
Go Getta,Young Jeezy,2007,100,80,0,0.105,0.392,0.751,0,0.15,-6.586,0.155,173.825,0.438
Here (In Your Arms),Hellogoodbye,2007,100,81,0,0.197,0.7,0.607,0.00173,0.272,-6.804,0.0359,126.045,0.774
On the Hotline,Pretty Ricky,2007,100,82,0,0.0185,0.704,0.854,0,0.148,-5.477,0.183,92.988,0.688
Wind It Up,Gwen Stefani,2007,100,83,0,0.309,0.961,0.9,0.000319,0.337,-6.874,0.0678,120.006,0.95
Cyclone,Baby Bash,2007,100,84,0,0.0112,0.644,0.725,0,0.146,-4.618,0.0701,77.977,0.584
Break It Off,Rihanna,2007,100,85,0,0.0166,0.897,0.738,0,0.0573,-5.314,0.228,133.966,0.798
First Time,Lifehouse,2007,100,86,0,0.0000241,0.442,0.952,0,0.205,-2.214,0.0541,130.682,0.505
Ayo Technology,50 Cent,2007,100,87,0,0.0828,0.63,0.782,0,0.034,-5.44,0.132,140.144,0.418
Outta My System,Bow Wow,2007,100,88,0,0.0917,0.772,0.59,0,0.101,-6.957,0.183,83.998,0.743
Teardrops on My Guitar,Taylor Swift,2007,100,89,0,0.288,0.621,0.417,0,0.119,-6.941,0.0231,99.953,0.289
Shut Up and Drive,Rihanna,2007,100,90,0,0.00101,0.735,0.826,0.129,0.197,-4.902,0.0349,132.964,0.74
Snow (Hey Oh),Red Hot Chili Peppers,2007,100,91,0,0.116,0.427,0.9,0.0000175,0.119,-3.674,0.0499,104.655,0.599
Money Maker,Ludacris,2007,100,92,0,0.15,0.551,0.598,0,0.299,-6.79,0.27,78.756,0.612
Kiss Kiss,Chris Brown,2007,100,93,0,0.0506,0.729,0.658,0,0.0693,-3.386,0.225,140.043,0.551
Far Away,Nickelback,2007,100,94,0,0.000681,0.518,0.797,0,0.107,-5.153,0.0309,132.918,0.293
Rock Yo Hips,Crime Mob,2007,100,95,0,0.0869,0.847,0.667,0,0.443,-5.7,0.17,77.492,0.707
LoveStoned,Justin Timberlake,2007,100,96,0,0.34,0.859,0.681,0.000161,0.213,-6.247,0.0549,121.243,0.852
Better than Me,Hinder,2007,100,97,0,0.205,0.449,0.682,0,0.175,-5.295,0.029,139.924,0.254
Paralyzer,Finger Eleven,2007,100,98,0,0.157,0.644,0.939,0,0.233,-3.486,0.0456,106.031,0.861
That's That,Snoop Dogg,2007,100,99,0,0.0202,0.866,0.619,0,0.0371,-4.774,0.19,82.05,0.733
Same Girl,R. Kelly,2007,100,100,0,0.506,0.717,0.583,0,0.0821,-5.008,0.146,139.76,0.816
The Pretender,Foo Fighters,2007,100,101,1,0.000917,0.433,0.959,0,0.028,-4.04,0.0431,172.984,0.365
Low,Flo Rida,2008,100,1,0,0.0928,0.918,0.609,0,0.139,-5.64,0.0791,128.008,0.304
Bleeding Love,Leona Lewis,2008,100,2,1,0.188,0.638,0.656,0,0.146,-5.886,0.0357,104.036,0.225
No One,Alicia Keys,2008,100,3,0,0.0209,0.644,0.549,0.00000885,0.134,-5.415,0.0285,90.04,0.167
Lollipop,Lil Wayne,2008,100,4,0,0.056,0.829,0.428,0.00413,0.137,-9.469,0.0831,148.075,0.45
Apologize,Timbaland,2008,100,5,0,0.0292,0.653,0.604,0,0.097,-6.017,0.0278,118.016,0.101
No Air,Jordin Sparks and Chris Brown,2008,100,6,0,0.853,0.51,0.36,0,0.142,-9.395,0.0557,159.736,0.501
Love Song,Sara Bareilles,2008,100,7,0,0.0208,0.583,0.786,0,0.188,-3.142,0.0301,123.055,0.573
Love in This Club,Usher,2008,100,8,0,0.0572,0.573,0.712,0,0.167,-5.976,0.0732,140.012,0.346
With You,Chris Brown,2008,100,9,0,0.134,0.662,0.693,0,0.145,-4.298,0.0698,86.009,0.655
Forever,Chris Brown,2008,100,10,0,0.0368,0.672,0.82,0.000188,0.184,-4.456,0.0459,120.005,0.438
Sexy Can I,Ray J,2008,100,11,0,0.296,0.575,0.686,0,0.617,-6.008,0.319,172.167,0.926
Take a Bow,Rihanna,2008,100,12,0,0.248,0.697,0.467,0,0.0941,-7.536,0.0715,82.082,0.572
Viva la Vida,Coldplay,2008,100,13,1,0.0954,0.486,0.617,0.00000323,0.109,-7.115,0.0287,138.015,0.417
I Kissed a Girl,Katy Perry,2008,100,14,0,0.00223,0.699,0.76,0,0.132,-3.173,0.0677,129.996,0.696
Whatever You Like,T.I.,2008,100,15,0,0.0161,0.68,0.687,0,0.261,-6.162,0.0709,150.053,0.467
Disturbia,Rihanna,2008,100,16,0,0.0863,0.707,0.813,0,0.168,-4.515,0.0571,124.921,0.722
Don't Stop the Music,Rihanna,2008,100,17,0,0.0336,0.835,0.669,0.0000692,0.0535,-5.582,0.0643,122.668,0.542
Pocketful of Sunshine,Natasha Bedingfield,2008,100,18,0,0.191,0.721,0.88,0,0.0769,-3.896,0.0454,110.021,0.655
Kiss Kiss,Chris Brown,2008,100,19,0,0.0506,0.729,0.658,0,0.0693,-3.386,0.225,140.043,0.551
Closer,Ne-Yo,2008,100,20,0,0.028,0.711,0.753,0.0000296,0.152,-6.461,0.0766,126.051,0.588
Bubbly,Colbie Caillat,2008,100,21,0,0.603,0.697,0.474,0,0.11,-6.663,0.0351,127.904,0.249
Touch My Body,Mariah Carey,2008,100,22,0,0.0996,0.714,0.665,0,0.226,-7.736,0.0509,78.515,0.842
4 Minutes,Madonna,2008,100,23,0,0.00994,0.753,0.931,0.00696,0.234,-4.922,0.0652,113.029,0.767
So What,Pink,2008,100,24,0,0.000334,0.534,0.87,0,0.241,-3.078,0.0425,126.019,0.462
Paralyzer,Finger Eleven,2008,100,25,0,0.157,0.644,0.939,0,0.233,-3.486,0.0456,106.031,0.861
Clumsy,Fergie,2008,100,26,0,0.191,0.731,0.563,0.000423,0.296,-4.046,0.131,184.004,0.452
I'm Yours,Jason Mraz,2008,100,27,0,0.559,0.703,0.444,0,0.0973,-9.331,0.0417,150.96,0.712
Leavin',Jesse McCartney,2008,100,28,0,0.0283,0.687,0.71,0.00000371,0.0689,-5.84,0.0522,79.235,0.886
Dangerous,Kardinal Offishall,2008,100,29,0,0.00437,0.949,0.79,0,0.0816,-5.957,0.0756,117.002,0.807
Tattoo,Jordin Sparks,2008,100,30,0,0.431,0.566,0.766,0,0.101,-5.036,0.0399,168.005,0.547
See You Again,Miley Cyrus,2008,100,31,0,0.015,0.692,0.911,0.0000771,0.112,-5.098,0.177,138.975,0.8
Shake It,Metro Station,2008,100,32,0,0.00221,0.618,0.955,0.00000309,0.486,-3.836,0.0798,150.034,0.79
Stop and Stare,OneRepublic,2008,100,33,0,0.0659,0.492,0.859,0,0.0756,-4.274,0.0332,92.474,0.251
Take You There,Sean Kingston,2008,100,34,0,0.0182,0.752,0.921,0,0.256,-4.321,0.0696,115.033,0.634
Paper Planes,M.I.A.,2008,100,35,1,0.033,0.447,0.848,0.0000746,0.65,-6.175,0.222,172.253,0.485
Hot n Cold,Katy Perry,2008,100,36,0,0.0000795,0.706,0.841,0,0.0688,-3.956,0.0418,132.032,0.861
Live Your Life,T.I.,2008,100,37,0,0.071,0.375,0.862,0,0.211,-3.363,0.255,159.841,0.478
Bust It Baby (Part 2),Plies,2008,100,38,0,0.052,0.713,0.548,0,0.239,-11.495,0.052,158.025,0.927
American Boy,Estelle,2008,100,39,0,0.171,0.727,0.729,0,0.07,-2.99,0.326,117.932,0.512
Got Money,Lil Wayne,2008,100,40,0,0.00188,0.694,0.661,0,0.676,-4.847,0.118,82.48,0.702
Our Song,Taylor Swift,2008,100,41,0,0.111,0.668,0.672,0,0.329,-4.931,0.0303,89.011,0.539
Damaged,Danity Kane,2008,100,42,0,0.0912,0.774,0.653,0,0.151,-5.158,0.05,120.01,0.818
A Milli,Lil Wayne,2008,100,43,0,0.0387,0.674,0.695,0.00202,0.194,-8.636,0.278,151.486,0.773
Sorry,Buckcherry,2008,100,44,0,0.0315,0.54,0.773,0,0.176,-3.627,0.0288,130.952,0.381
Independent,Webbie,2008,100,45,0,0.00113,0.725,0.431,0,0.14,-5.988,0.0707,174.083,0.199
